id,role,start_date,end_date,remote,assignment_details,assignment_status,availability,user_id,emergency_id,created_at,updated_at
18,FACT/CAP Information Management,2011-01-01,2011-02-01,0,Assignment imported for SIMS Portal launch - details missing.,Active,NULL,10,9,2022-10-03 15:23:36,NULL
19,FACT/CAP Information Management,2012-08-01,2012-09-01,0,Assignment imported for SIMS Portal launch - details missing.,Active,NULL,11,11,2022-10-03 15:30:34,NULL
20,FACT/CAP Information Management,2013-11-01,2013-12-01,0,Assignment imported for SIMS Portal launch - details missing.,Active,NULL,12,12,2022-10-03 15:56:40,NULL
21,Remote IM Support,2013-11-01,2013-12-01,1,Assignment imported for SIMS Portal launch - details missing.,Active,NULL,13,12,2022-10-03 15:58:25,NULL
22,Remote IM Support,2013-11-01,2013-12-01,1,Assignment imported for SIMS Portal launch - details missing.,Active,NULL,14,12,2022-10-03 16:00:30,NULL
23,FACT/CAP Information Management,2014-01-07,2014-03-28,0,Assignment imported for SIMS Portal launch - details missing.,Active,NULL,15,12,2022-10-03 16:02:52,NULL
24,FACT/CAP Information Management,2013-11-01,2013-12-01,0,Assignment imported for SIMS Portal launch - details missing.,Active,NULL,16,12,2022-10-03 16:04:33,NULL
25,Information Management Coordinator,2022-03-04,2022-04-14,0,"Jonathan served as the Humanitarian Information Analysis Coordinator, based in Budapest. He liaised with multiple SIMS Coordinators to meet IM demands in the field.",Active,NULL,1,4,2022-10-07 19:15:58,2022-10-11 21:27:39
26,Information Management Coordinator,2022-03-14,2022-05-14,0,Dan served as the Information Management Coordinator for the Poland operation.,Active,NULL,15,4,2022-10-07 19:16:57,NULL
27,Information Management Coordinator,2022-03-28,2022-04-28,0,Katie supported Information Management efforts in Poland.,Active,NULL,17,4,2022-10-07 19:30:32,NULL
28,Remote IM Support,2022-10-10,2022-10-31,0,Sarah is providing remote support with a focus on GIS and infographic production. She is based in the CET timezone.,Active,"['2022-10-10', '2022-10-11', '2022-10-12', '2022-10-13', '2022-10-14', '2022-10-15', '2022-10-16', '2022-10-17', '2022-10-18', '2022-10-19', '2022-10-20', '2022-10-21', '2022-10-22', '2022-10-23', '2022-10-24', '2022-10-25', '2022-10-28', '2022-10-29', '2022-10-30']",3,4,2022-10-11 19:21:23,2022-10-12 13:28:39
29,SIMS Remote Coordinator,2022-10-14,2023-01-21,0,Chanthou is serving as the second round SIMS Remote Coordinator,Active,NULL,4,4,2022-10-14 17:47:40,2022-10-21 15:59:01
30,SIMS Remote Coordinator,2022-06-27,2022-08-25,0,,Active,NULL,5,4,2022-10-14 18:06:01,NULL
